,,,,,,,,,Open-ended text,No validation,,,,Ambiguous name,,Two response options 
,,,,,,,,,,,,,,,,
,,,,,,,,,School,Date,Principal,Agree,Confident,Q4,Trust,Proficient
,,,,,,,,,Enter the name of your school:,Enter the date: ,Select your ID from the list below:,The teachers and I agree on school goals.,I am confident in my ability to help the situation.,I believe I communicate effectively.,The teachers and I trust one another.,Enter the percent proficient in MAP math and MAP comm arts.
,,,,,,,,,North Middle,December 12th,1,5,15,5,5,40 and 50
,,,,,,,,,north  ,10/23/2019,2,5,15,5,5,30/60
,,,,,,,,,south mid,12/10/2019,3,5,14,5,5,20/25
,,,,,,,,,East middle,"nov. 12, 2019",4,5,15,5,5,55/36
,,,,,,,,,SOUTH,12/11/2019,5,5,14,5,5,25-45
,,,,,,,,,West Mid,10/24/2019,6,5,15,5,5,35/56
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
stu_id,s1_item1,s2_item1,s3_item1,s4_item1,,,,,,,,,,,,
1268,5,4,,3,,,,,,,,,,,,
1286,,,3,,,,,,,,,,,,,
1306,2,3,5,1,,,,,,,,,,,,
1246,5,4,3,4,,,,,,,,,,,,
